day,warmup,profiled,engine_ms,compaction_ms,delivered,active_trucks_end,orders_end,active_bytes
1,True,False,3931.847942,61.532538000000386,478,168,4386,7739960
2,True,False,4795.196247999999,57.137409000000844,406,170,7463,12256776
3,False,False,8120.991780999999,76.6707499999975,421,175,8799,15638792
4,False,False,13122.013330000002,103.18902099999832,430,170,9288,18360830
5,False,False,22096.362327,108.6764170000024,480,152,9756,21344285
6,False,True,17638.113671999992,130.70518799999263,421,169,10215,24096653
